0: 1 5 14 6 21, zy
8090: 1 5 14 2 2 2 12 4 14 4 14 4 12 2 4 2 8 2 6 2 8 2 6 2 8 4 19 1 6 1 23 7 1 17 4 10 4 18 4 10 4 17 1 7 23 1 6 1 19 4 8 2 6 2 8 2 6 2 8 2 4 2 12 4 14 4 14 4 12 2 2 2 14 5 1 23 6 16 4 14 4 12 4 16 4 10 2 4 2 12 4 14 4 12 2 4 2 10 4 16 4 12 4 14 4 16 6 23, zy
8091: 1 5 14 2 2 2 12 4 14 4 14 4 12 4 17 1 7 24 7 1 17 4 12 4 14 4 14 4 14 5 1 22 1 6 1 21 6 18 4 12 4 14 4 14 5 1 22 1 5 14 4 14 4 14 5 1 22 1 5 14 4 14 4 12 4 18 6 21 1 6 1 22 1 5 14 4 14 4 14 4 12 4 17 1 7 24 7 1 17 4 12 4 14 4 14 4 12 2 2 2 14 5 1 23 6 18 6 23, zy
8092: 1 5 14 2 2 2 12 4 14 4 14 4 14 4 12 2 2 2 14 5 1 23 6 18 6 23 1 6 1 19 4 8 2 8 4 18 4 8 2 8 4 20 6 19 1 7 24 6 18 6 23 1 5 16 5 1 23 6 19 1 6 1 23 6 18 6 23 1 6 1 19 6 23 1 5 16 5 1 23 6 18 6 24 7 1 19 6 20 4 8 2 8 4 18 4 8 2 8 4 19 1 6 1 23 6 18 6 23, zy
8093: 1 5 14 2 2 2 12 4 14 4 14 4 14 4 12 2 4 2 10 4 16 4 12 4 16 5 1 23 6 18 5 1 24 1 5 16 4 14 4 12 4 16 4 10 2 6 2 6 2 10 4 16 4 12 4 16 4 10 2 6 2 6 2 10 4 16 4 12 4 14 4 16 5 1 24 1 5 18 6 23 1 5 16 4 12 4 16 4 10 2 4 2 12 4 14 4 14 4 14 4 12 2 2 2 14 5 1 22, zy
8094: 1 5 14 2 2 2 12 4 14 4 14 4 14 4 14 5 1 22 1 5 14 4 14 2 2 2 10 2 2 2 14 4 14 5 1 22 1 5 14 4 14 4 14 4 14 4 12 2 2 2 14 5 1 23 6 18 6 22 6 20 6 22 6 18 5 1 24 1 5 16 4 12 4 16 5 1 23 6 18 4 10 4 18 6 23 1 5 16 4 12 4 16 5 1 24 1 5 18 6 22 6 20 6 22 6 18 6 23, zy
8095: 1 5 14 2 2 2 12 4 14 4 14 4 14 4 14 5 1 22 1 5 14 4 14 4 14 4 14 4 12 2 2 2 14 5 1 23 6 18 6 22 6 20 6 22 6 18 5 1 24 1 5 16 4 12 4 16 5 1 23 6 18 4 10 2 2 2 14 4 14 5 1 22 1 5 14 4 14 2 2 2 10 4 18 6 23 1 5 16 4 12 4 16 5 1 24 1 5 18 6 22 6 20 6 22 6 18 6 23, zy
8096: 1 5 14 2 2 2 12 4 14 4 14 4 14 4 14 5 1 22 1 5 14 4 14 4 16 6 23 1 5 16 5 1 24 1 5 18 6 22 6 20 6 22 6 18 5 1 24 1 5 16 5 1 23 6 16 4 14 4 14 5 1 22 1 5 14 4 14 4 14 4 14 4 12 2 2 2 14 5 1 23 6 16 4 14 4 12 2 4 2 8 2 6 2 8 2 6 2 8 2 4 2 12 4 14 4 16 6 23, zy
8097: 1 5 14 2 2 2 12 4 14 4 14 4 14 4 14 5 1 22 1 5 16 5 1 24 1 5 18 6 23 1 6 1 18 1 7 24 6 18 5 1 24 1 5 16 4 12 4 16 5 1 24 1 5 18 6 24 7 1 18 1 6 1 23 6 18 5 1 24 1 5 16 5 1 22 1 5 14 4 14 4 14 4 14 4 12 2 2 2 14 5 1 23 6 16 4 14 4 12 4 16 4 12 4 14 4 16 6 23, zy
8098: 1 5 14 2 2 2 12 4 14 4 16 6 23 1 6 1 19 6 22 6 18 4 10 2 6 4 21 1 5 14 4 16 6 24 6 16 4 14 4 12 4 16 4 12 4 14 4 16 6 24 6 16 4 14 5 1 21 4 6 2 10 4 18 6 22 6 19 1 6 1 23 6 16 4 14 4 12 2 2 2 14 5 1 22 1 6 1 19 4 8 2 6 2 10 4 16 4 10 2 6 2 8 4 19 1 6 1 22, zy
8099: 1 5 14 2 2 2 12 4 16 4 12 2 4 2 8 2 6 2 10 4 18 6 23 1 5 14 2 2 2 12 4 17 1 7 25 1 5 18 5 1 25 7 1 17 4 12 2 2 2 14 5 1 23 6 18 4 10 2 6 2 8 2 4 2 12 4 16 4 12 2 2 2 14 5 1 23 6 18 4 10 2 6 2 6 2 10 2 2 2 14 4 14 4 14 2 2 2 10 2 6 2 6 2 10 4 18 6 23, zy
8100: 1 5 14 2 2 2 12 4 16 4 12 2 4 2 8 2 6 2 10 4 18 6 23 1 5 14 2 2 2 12 4 17 1 7 25 1 5 18 5 1 25 7 1 17 4 12 2 2 2 14 5 1 23 6 18 4 10 2 6 2 8 2 4 2 12 4 16 4 12 2 2 2 14 5 1 23 6 18 4 10 2 6 2 6 2 10 2 4 2 10 4 18 4 10 2 4 2 10 2 6 2 6 2 10 4 18 6 23, zy
8101: 1 5 14 2 2 2 12 4 16 4 12 4 16 4 12 2 2 2 14 5 1 23 6 18 5 1 24 1 5 16 4 12 2 4 2 10 4 18 6 23 1 6 1 19 4 10 4 18 5 1 25 6 16 4 14 4 14 4 12 2 4 2 10 2 4 2 10 2 4 2 12 4 14 4 14 4 16 6 25 1 5 18 4 10 4 19 1 6 1 23 6 18 4 10 2 4 2 12 4 16 5 1 24 1 5 18 6 23, zy
8102: 1 5 14 2 2 2 12 4 16 5 1 24 1 5 16 4 14 4 12 4 17 1 7 24 6 18 6 24 6 16 4 14 5 1 22 1 5 14 4 16 6 24 6 18 6 24 7 1 17 4 12 4 14 4 16 5 1 24 1 5 16 4 12 2 2 2 14 5 1 23 6 18 6 24 7 1 17 4 10 2 6 2 6 2 10 4 16 4 12 4 16 4 10 2 6 2 6 2 10 4 17 1 7 24 6 18 6 23, zy
8103: 1 5 14 2 2 2 12 4 16 5 1 24 1 5 16 4 14 4 12 4 17 1 7 24 6 18 6 24 7 1 17 4 12 4 14 4 16 5 1 24 1 5 16 4 12 2 2 2 14 5 1 23 6 18 5 1 24 1 6 1 19 6 22 6 21 1 5 14 4 14 4 14 4 16 6 23 1 6 1 20 1 6 1 23 6 16 4 14 4 14 4 14 5 1 21 6 22 6 19 1 6 1 24 1 5 18 6 23, zy
8104: 1 5 14 2 2 2 12 4 16 5 1 24 1 5 18 6 22 6 21 1 5 14 4 14 4 14 4 14 4 14 4 12 2 2 2 14 4 12 4 16 4 12 4 16 4 12 4 14 2 2 2 12 4 14 4 14 4 14 4 14 4 14 5 1 21 6 22 6 18 5 1 24 1 5 16 4 12 2 2 2 14 5 1 23 7 1 17 6 24 6 18 6 23 1 5 16 5 1 23 6 18 6 24 6 17 1 7 23, zy
8105: 1 5 14 2 2 2 12 4 16 5 1 24 1 5 18 6 22 6 21 1 5 14 4 14 4 14 4 14 4 14 4 12 2 4 2 10 4 16 4 12 4 16 4 12 4 16 4 10 2 4 2 12 4 14 4 14 4 14 4 14 4 14 5 1 21 6 22 6 18 5 1 24 1 5 16 4 12 2 2 2 14 5 1 23 7 1 17 6 24 6 18 6 23 1 5 16 5 1 23 6 18 6 24 6 17 1 7 23, zy
8106: 1 5 14 2 2 2 12 4 16 6 24 6 16 4 12 2 2 2 14 5 1 23 6 17 1 7 23 1 5 16 4 10 2 6 2 6 2 10 4 16 4 12 4 16 5 1 24 1 5 18 6 23 1 5 16 4 10 2 6 2 8 4 20 6 20 6 20 4 8 2 6 2 10 4 16 5 1 23 6 18 5 1 24 1 5 16 4 12 4 16 4 10 2 6 2 6 2 10 4 16 5 1 23 7 1 17 6 23, zy
8107: 1 5 14 2 2 2 12 4 16 6 24 6 18 6 23 1 6 1 20 1 6 1 23 6 16 4 14 4 14 5 1 22 1 6 1 21 6 20 4 8 4 20 6 21 1 6 1 22 1 5 14 4 14 4 16 6 23 1 6 1 20 1 6 1 23 6 18 6 24 6 16 4 12 2 2 2 14 5 1 23 6 18 4 10 4 18 4 10 4 18 6 22 6 20 6 22 6 18 4 10 4 18 4 10 4 18 6 23, zy
8108: 1 5 14 2 2 2 12 4 17 1 7 25 1 5 18 5 1 25 7 1 17 4 12 2 2 2 14 5 1 23 6 18 4 10 2 6 2 8 4 20 6 22 6 20 6 23 1 5 16 4 12 4 18 6 23 1 6 1 19 4 8 2 8 2 6 2 8 2 6 2 8 2 6 2 8 2 8 4 19 1 6 1 23 6 18 4 12 4 16 5 1 23 6 20 6 22 6 20 4 8 2 6 2 10 4 18 6 23, zy
8109: 1 5 14 2 2 2 12 4 18 6 22 6 22 6 20 6 23 1 5 16 4 12 2 2 2 14 4 14 4 14 4 14 4 16 5 1 24 1 5 16 4 14 4 14 4 14 4 14 2 2 2 12 4 16 5 1 23 6 20 6 22 6 22 6 18 4 12 2 2 2 14 5 1 22 1 6 1 21 6 20 4 10 4 18 5 1 25 6 16 4 14 4 16 6 25 1 5 18 4 10 4 20 6 21 1 6 1 22, zy
8110: 1 5 14 4 10 2 2 2 12 4 10 4 16 6 18 6 19 1 6 1 20 1 6 1 19 6 17 1 7 21 1 6 1 19 6 16 4 8 2 4 2 10 4 12 4 14 6 21 1 6 1 17 4 8 4 17 1 6 1 21 6 14 4 12 4 10 2 4 2 8 4 16 6 19 1 6 1 21 7 1 17 6 19 1 6 1 20 1 6 1 19 6 18 6 16 4 10 4 12 2 2 2 10 4 14 5 1 22, zy
8111: 1 5 14 4 10 2 2 2 12 4 10 4 16 6 19 1 6 1 20 1 6 1 19 6 16 5 1 22 1 5 14 5 1 21 6 14 4 12 4 12 4 10 2 4 2 8 2 4 2 8 4 16 4 8 2 4 2 8 2 4 2 10 4 12 4 12 4 14 6 21 1 5 14 5 1 22 1 5 16 6 19 1 6 1 20 1 6 1 19 6 16 4 10 4 12 2 2 2 10 4 14 5 1 21 6 16 6 21, zy
8112: 1 5 14 4 10 2 2 2 12 4 14 5 1 22 1 5 14 4 12 4 14 5 1 22 1 5 14 4 12 4 14 5 1 22 1 5 14 4 12 2 2 2 10 4 14 5 1 21 6 16 5 1 22 1 6 1 17 6 21 1 5 14 4 10 2 4 2 8 2 4 2 10 4 14 4 12 4 12 4 12 4 14 4 10 2 4 2 8 2 4 2 10 4 14 5 1 21 6 17 1 6 1 22 1 5 16 6 21, zy
8113: 1 5 14 4 10 2 2 2 14 6 21 1 6 1 19 6 19 1 6 1 21 7 1 17 6 20 6 16 4 10 4 16 6 20 6 18 6 18 4 8 4 17 1 7 22 6 14 4 14 6 22 7 1 17 4 8 4 18 6 18 6 20 6 16 4 10 4 16 6 20 6 17 1 7 21 1 6 1 19 6 19 1 6 1 21 6 14 2 2 2 10 4 14 5 1 22 1 5 14 4 12 4 12 4 14 5 1 22, zy
8114: 1 5 14 4 10 2 4 2 6 2 8 2 2 2 12 4 12 4 12 2 2 2 8 2 6 2 4 2 10 4 14 5 1 21 6 16 6 21 1 5 14 4 10 4 16 6 19 1 6 1 21 7 1 17 6 20 6 16 6 20 6 16 4 10 4 14 5 1 21 6 16 6 21 1 5 14 4 10 4 16 6 20 6 16 6 20 6 17 1 7 21 1 6 1 19 6 16 4 10 4 14 5 1 21 6 16 6 21, zy
8115: 1 5 14 4 10 2 4 2 8 2 6 2 4 2 10 2 4 2 8 4 16 4 8 2 6 2 8 4 16 6 21 1 5 14 5 1 21 6 16 4 8 2 6 2 8 4 16 4 8 2 4 2 10 2 4 2 6 2 8 2 4 2 10 4 14 5 1 21 6 16 4 10 4 16 6 20 6 18 4 6 2 8 2 4 2 10 4 14 4 10 2 4 2 8 2 6 4 18 6 20 6 16 4 10 4 16 6 21, zy
8116: 1 5 14 4 10 2 4 2 8 2 6 2 6 2 6 2 8 4 16 4 8 2 6 2 8 4 16 4 8 2 6 2 6 2 6 2 8 2 4 2 10 4 14 5 1 21 6 16 4 10 4 16 6 21 1 6 1 19 6 18 6 20 6 17 1 7 21 1 6 1 19 6 19 1 6 1 20 1 6 1 19 6 19 1 6 1 21 7 1 17 6 20 6 18 6 19 1 6 1 21 6 16 4 10 4 16 6 21, zy
8117: 1 5 14 4 10 2 4 2 8 2 6 4 18 4 6 2 8 2 4 2 10 4 14 5 1 21 6 16 4 10 4 14 4 12 4 14 4 10 4 16 6 21 1 5 14 5 1 21 6 16 5 1 22 1 6 1 17 4 8 4 18 6 20 6 16 4 10 4 16 6 20 6 18 4 8 4 17 1 6 1 22 1 5 16 6 21 1 5 14 5 1 21 6 16 4 10 4 14 4 12 4 14 4 10 4 16 6 21, zy
8118: 1 5 14 4 10 2 4 2 8 2 6 4 18 6 18 6 20 6 17 1 7 21 1 6 1 20 1 6 1 19 6 20 7 1 17 6 19 1 6 1 22 1 5 14 4 12 4 14 6 22 6 14 4 12 4 14 6 22 6 14 4 12 4 14 5 1 22 1 6 1 19 6 17 1 7 20 6 19 1 6 1 20 1 6 1 21 7 1 17 6 20 6 18 6 18 4 6 2 8 2 4 2 10 4 14 5 1 22, zy
8119: 1 5 14 4 10 2 4 2 8 4 16 6 20 6 17 1 6 1 22 1 5 16 6 20 6 16 4 8 2 6 2 6 4 18 6 18 4 6 2 6 2 8 4 16 6 20 6 16 5 1 22 1 6 1 17 6 20 6 16 4 8 2 4 2 10 4 14 5 1 22 1 5 16 6 19 1 6 1 21 7 1 17 6 19 1 6 1 19 6 19 1 6 1 19 6 17 1 7 21 1 6 1 19 6 16 5 1 22, zy
8120: 1 5 14 4 10 2 4 2 8 4 16 6 21 1 5 14 4 12 4 10 2 4 2 8 2 4 2 8 2 4 2 10 4 12 4 14 4 8 2 6 2 6 2 6 2 8 4 14 4 12 4 10 2 4 2 8 2 4 2 8 2 4 2 10 4 12 4 14 5 1 21 6 16 4 8 2 4 2 10 4 14 5 1 22 1 5 16 6 20 6 16 6 21 1 5 14 5 1 21 6 16 6 20 6 16 5 1 22, zy
8121: 1 5 14 4 10 2 4 2 10 4 12 2 2 2 12 4 10 2 4 2 10 4 14 5 1 21 6 16 4 10 4 16 6 20 6 19 1 6 1 19 6 20 6 16 5 1 22 1 6 1 17 4 8 2 4 2 10 2 2 2 12 4 12 4 12 4 14 4 12 4 12 4 12 2 2 2 10 2 4 2 8 4 17 1 6 1 22 1 5 16 6 20 6 19 1 6 1 19 6 20 6 16 4 10 4 16 6 21, zy
8122: 1 5 14 4 10 4 14 4 8 2 6 2 6 4 18 6 16 6 20 6 16 6 19 1 6 1 21 7 1 17 4 6 2 8 4 16 6 18 6 18 6 18 6 16 4 8 2 4 2 10 4 12 4 12 4 12 4 10 2 4 2 8 4 16 6 18 6 18 6 18 6 16 4 8 2 6 4 17 1 7 21 1 6 1 19 6 16 6 20 6 16 6 18 4 6 2 6 2 8 4 14 4 10 4 14 5 1 22, zy
8123: 1 5 14 4 10 4 14 4 10 4 14 4 10 4 14 4 10 4 14 4 10 4 14 4 10 4 14 4 10 4 14 5 1 21 6 16 6 20 6 16 6 20 7 1 16 1 7 20 6 16 6 20 6 16 6 21 1 5 14 4 10 4 14 4 10 4 14 4 10 4 14 4 10 4 14 4 10 4 14 4 10 4 14 5 1 21 6 16 6 20 6 16 6 20 7 1 16 1 7 20 6 16 6 20 6 16 6 21, zy
8124: 1 5 14 4 10 4 14 4 10 4 14 4 10 4 14 5 1 21 6 16 6 18 4 6 2 8 2 2 2 12 4 12 4 10 2 2 2 12 4 12 4 10 4 16 6 20 7 1 17 6 18 6 18 6 18 6 18 6 18 6 18 6 18 6 18 6 18 6 18 6 18 6 18 6 18 6 17 1 7 20 6 16 4 10 4 12 4 12 2 2 2 10 4 12 4 12 2 2 2 8 2 6 4 18 6 16 6 21, zy
8125: 1 5 14 4 10 4 15 1 7 20 6 16 6 20 6 14 4 12 4 12 4 12 4 10 2 4 2 8 4 16 6 20 7 1 17 6 18 6 18 6 18 6 17 1 7 20 6 16 4 8 2 4 2 10 4 12 4 12 4 12 4 14 6 20 6 16 6 20 7 1 15 4 10 4 14 5 1 22 1 5 14 4 10 4 16 6 18 6 18 6 18 6 18 6 18 6 18 6 18 6 16 4 10 4 14 5 1 22, zy
8126: 1 5 14 4 10 4 16 6 18 6 18 6 19 1 6 1 19 6 18 6 18 6 18 6 17 1 7 20 6 16 4 8 2 6 4 18 6 16 6 21 1 6 1 17 4 8 4 16 4 8 4 16 4 8 4 16 4 8 4 16 4 8 4 17 1 6 1 21 6 16 6 18 4 6 2 8 4 16 6 20 7 1 17 6 18 6 18 6 18 6 19 1 6 1 19 6 18 6 18 6 16 4 10 4 14 5 1 22, zy
8127: 1 5 14 4 10 4 16 6 18 6 19 1 6 1 19 6 18 6 18 6 18 6 18 6 18 6 18 6 18 6 19 1 6 1 19 6 18 6 16 4 10 4 14 5 1 21 6 16 6 20 6 16 6 20 6 16 4 8 2 4 2 8 2 6 4 17 1 7 22 7 1 17 6 20 7 1 16 1 7 20 6 17 1 7 22 7 1 17 4 6 2 8 2 4 2 8 4 16 6 20 6 16 6 20 6 16 6 21, zy
8128: 1 5 14 4 10 4 16 6 20 6 16 6 20 6 18 6 16 4 10 4 15 1 7 20 6 18 6 17 1 7 21 1 5 14 5 1 22 1 5 16 6 20 6 16 6 21 1 6 1 17 6 20 6 17 1 6 1 21 6 16 6 20 6 16 5 1 22 1 5 14 5 1 21 7 1 17 6 18 6 20 7 1 15 4 10 4 16 6 18 6 20 6 16 6 20 6 16 4 10 4 14 5 1 21 6 16 6 21, zy
8129: 1 5 14 4 10 4 16 6 20 6 16 6 21 1 5 14 5 1 22 1 5 14 4 12 4 12 4 12 4 12 4 14 6 22 7 1 17 4 8 4 17 1 7 22 6 14 4 12 4 12 4 12 4 12 4 14 5 1 22 1 5 14 5 1 21 6 16 6 20 6 16 4 10 4 14 5 1 21 6 16 6 21 1 6 1 18 1 7 22 6 16 6 20 6 16 6 22 7 1 18 1 6 1 21 6 16 6 21, zy
8130: 1 5 14 4 10 4 16 6 21 1 6 1 19 6 16 4 10 4 16 6 19 1 6 1 22 1 5 14 4 12 4 12 4 12 4 14 4 10 4 14 4 12 4 12 4 12 4 14 5 1 22 1 6 1 19 6 16 4 10 4 16 6 19 1 6 1 21 6 16 4 10 4 14 5 1 22 1 5 14 5 1 21 6 16 6 21 1 6 1 19 6 18 6 19 1 6 1 21 6 16 6 21 1 5 14 5 1 22, zy
8131: 1 5 14 4 12 2 2 2 10 4 14 4 12 4 14 5 1 22 1 5 14 4 12 4 14 4 10 2 2 2 12 4 14 5 1 21 6 18 6 20 6 16 4 10 2 4 2 8 4 18 6 18 6 21 1 5 14 4 12 4 12 4 16 6 19 1 6 1 22 1 5 16 5 1 22 1 6 1 19 6 16 4 12 4 12 4 14 5 1 21 6 18 6 18 4 8 2 4 2 10 4 16 6 20 6 18 6 21, zy
8132: 1 5 14 4 12 2 2 2 12 2 2 2 12 4 12 2 4 2 8 2 6 2 6 2 10 4 16 6 23 1 5 14 4 14 4 14 4 10 2 6 2 6 2 8 2 6 2 6 2 8 2 6 2 6 2 8 2 6 2 6 2 10 4 14 4 14 4 14 5 1 23 6 16 4 10 2 6 2 6 2 8 2 4 2 12 4 12 2 2 2 12 2 2 2 12 4 14 5 1 21 6 20 6 20 6 20 6 21, zy
8133: 1 5 14 4 12 2 2 2 12 4 14 4 14 5 1 22 1 6 1 19 4 8 2 4 2 12 4 14 5 1 22 1 5 14 4 14 5 1 22 1 5 14 4 14 5 1 22 1 5 14 4 14 5 1 22 1 5 14 4 14 5 1 22 1 5 14 4 12 2 4 2 8 4 19 1 6 1 22 1 5 14 4 14 4 12 2 2 2 12 4 14 5 1 22 1 5 14 4 14 4 12 4 14 4 14 5 1 22, zy
8134: 1 5 14 4 12 2 2 2 12 4 16 6 23 1 5 16 5 1 23 6 16 4 12 4 16 6 23 1 5 16 5 1 23 6 16 4 12 2 2 2 12 4 14 5 1 21 6 20 6 19 1 6 1 23 6 16 4 10 2 6 2 6 2 8 2 4 2 12 4 14 5 1 21 6 20 6 20 6 20 6 21 1 5 14 4 12 2 4 2 8 2 6 2 6 2 10 4 16 6 23 1 6 1 19 6 20 6 21, zy
8135: 1 5 14 4 12 2 4 2 8 2 6 2 8 2 4 2 12 4 14 4 12 4 16 4 10 2 4 2 10 2 4 2 10 4 16 4 12 4 14 4 12 2 4 2 8 2 6 2 8 2 4 2 12 4 14 5 1 21 6 20 6 20 4 6 2 10 4 16 4 12 4 14 4 14 4 12 4 16 5 1 23 6 18 6 23 1 5 16 4 12 4 14 4 14 4 12 4 16 4 10 2 6 4 20 6 20 6 21, zy
8136: 1 5 14 4 12 2 4 2 8 2 6 2 8 4 19 1 6 1 22 1 6 1 19 6 22 6 18 6 23 1 5 16 5 1 23 6 18 6 22 6 19 1 6 1 22 1 6 1 19 4 8 2 6 2 8 2 4 2 12 4 14 5 1 21 6 20 6 20 4 8 4 19 1 6 1 22 1 6 1 19 4 8 4 20 6 20 6 20 4 8 4 19 1 6 1 22 1 6 1 19 4 8 4 20 6 20 6 21, zy
8137: 1 5 14 4 12 2 4 2 8 2 8 4 18 6 22 6 18 4 8 2 8 2 4 2 12 4 14 5 1 21 6 20 6 21 1 5 14 4 14 5 1 21 6 20 6 20 4 8 4 20 6 18 4 12 4 14 5 1 21 6 20 6 20 6 21 1 6 1 20 1 6 1 21 6 20 6 20 6 21 1 5 14 4 12 4 18 6 20 4 8 4 20 6 20 6 21 1 5 14 4 14 5 1 21 6 20 6 21, zy
8138: 1 5 14 4 12 2 4 2 8 2 8 4 18 6 22 6 18 6 23 1 5 16 5 1 23 6 18 6 23 1 5 16 4 12 4 14 4 14 4 12 4 16 4 12 4 14 4 12 4 16 4 12 4 14 4 14 4 12 4 16 5 1 23 6 18 6 23 1 5 16 5 1 23 6 18 6 22 6 18 4 8 2 8 2 4 2 12 4 14 5 1 21 6 20 6 21 1 6 1 20 1 6 1 21 6 20 6 21, zy
8139: 1 5 14 4 12 2 4 2 8 4 20 6 18 6 23 1 6 1 19 6 20 4 6 2 10 4 16 5 1 23 6 18 6 22 6 18 4 8 2 6 2 8 2 4 2 12 4 12 2 2 2 12 2 2 2 12 4 12 2 4 2 8 2 6 2 8 4 18 6 22 6 18 6 23 1 5 16 4 10 2 6 4 20 6 19 1 6 1 23 6 18 6 20 4 8 2 4 2 12 4 14 5 1 21 6 20 6 21, zy
8140: 1 5 14 4 12 2 4 2 10 4 16 4 10 2 4 2 12 4 14 5 1 21 6 20 6 21 1 6 1 19 4 10 4 16 4 12 4 14 4 14 4 14 5 1 21 6 21 1 6 1 19 4 8 2 6 2 8 2 6 2 6 2 10 4 16 4 10 2 6 2 6 2 8 2 6 2 8 4 19 1 6 1 21 6 21 1 5 14 4 14 4 14 4 12 4 16 4 10 4 19 1 6 1 21 6 20 6 21, zy
8141: 1 5 14 4 12 4 10 2 4 2 8 4 17 1 6 1 21 6 14 4 12 4 12 4 12 4 12 4 12 4 14 5 1 22 1 5 14 4 12 4 12 4 12 4 12 4 12 4 14 6 21 1 6 1 17 4 8 2 4 2 10 4 12 4 14 5 1 21 6 16 4 8 2 6 4 18 6 18 6 18 6 18 6 20 6 14 4 12 4 14 6 20 6 18 6 18 6 18 6 18 4 6 2 8 4 16 6 21, zy
8142: 1 5 14 4 12 4 12 2 2 2 10 2 2 2 12 4 12 4 14 5 1 22 1 6 1 19 6 18 6 20 6 18 6 19 1 6 1 22 1 5 14 4 12 4 14 6 23 1 5 16 6 22 7 1 18 1 6 1 22 1 6 1 19 6 18 6 19 1 6 1 22 1 6 1 18 1 7 22 6 16 5 1 23 6 14 4 12 4 14 5 1 22 1 6 1 19 6 18 6 20 6 18 6 19 1 6 1 22, zy
8143: 1 5 14 4 12 4 12 2 2 2 10 2 4 2 8 4 17 1 7 23 1 5 16 5 1 23 7 1 17 4 8 2 4 2 10 2 2 2 12 4 12 4 14 5 1 21 6 18 6 19 1 6 1 21 6 16 4 8 2 8 4 16 6 22 7 1 17 6 21 1 6 1 19 6 18 6 20 6 18 6 19 1 6 1 21 6 17 1 7 22 6 16 4 8 2 8 4 16 6 21 1 6 1 19 6 18 6 21, zy
8144: 1 5 14 4 12 4 12 2 2 2 10 4 16 6 20 6 16 4 10 2 2 2 12 4 12 4 14 5 1 22 1 6 1 18 1 7 22 6 16 5 1 23 6 14 4 12 4 12 4 14 5 1 22 1 5 14 4 12 4 12 4 14 5 1 22 1 6 1 18 1 6 1 22 1 5 14 4 12 4 12 4 14 5 1 22 1 5 14 4 12 4 12 4 14 6 23 1 5 16 6 22 7 1 18 1 6 1 22, zy
8145: 1 5 14 4 12 4 12 2 2 2 10 4 16 6 20 6 17 1 7 22 6 14 4 12 2 2 2 10 4 14 4 12 4 12 4 12 4 14 4 12 4 12 4 12 4 14 4 10 2 2 2 12 4 14 6 22 7 1 17 6 20 6 16 4 10 2 2 2 12 4 12 4 14 5 1 22 1 5 14 4 12 4 14 4 10 4 15 1 7 20 6 18 6 20 7 1 15 4 10 4 14 4 12 4 14 5 1 22, zy
8146: 1 5 14 4 12 4 12 4 12 2 2 2 10 4 16 6 20 6 17 1 7 21 1 6 1 19 6 20 7 1 17 6 19 1 6 1 22 1 5 14 4 12 4 14 6 22 6 14 4 12 4 14 6 22 6 14 4 12 4 14 5 1 22 1 6 1 19 6 17 1 7 20 6 19 1 6 1 21 7 1 17 6 20 6 16 4 10 2 2 2 12 4 12 4 12 4 14 5 1 22 1 6 1 18 1 6 1 22, zy
8147: 1 5 14 4 12 4 12 4 14 4 10 2 4 2 8 4 17 1 7 22 6 16 6 22 7 1 17 4 8 4 18 6 18 4 8 4 17 1 7 22 6 16 6 21 1 6 1 19 6 18 4 6 2 8 2 6 4 18 6 19 1 6 1 21 6 16 6 22 7 1 17 4 8 4 18 6 18 4 8 4 17 1 7 22 6 16 6 22 7 1 17 4 8 2 4 2 10 4 14 4 12 4 12 4 14 5 1 22, zy
8148: 1 5 14 4 12 4 12 4 14 4 10 4 16 4 8 2 6 2 6 2 6 2 6 2 8 4 17 1 7 22 6 16 4 8 2 6 2 6 2 8 4 16 4 8 2 6 2 6 2 6 2 8 4 16 4 8 2 6 2 6 2 6 2 8 4 16 4 8 2 6 2 6 2 8 4 16 6 22 7 1 17 4 8 2 6 2 6 2 6 2 6 2 8 4 16 4 10 4 14 4 12 4 12 4 14 5 1 22, zy
8149: 1 5 14 4 12 4 12 4 14 4 10 4 16 6 21 1 5 14 5 1 21 6 16 4 10 4 14 4 12 4 12 4 14 5 1 22 1 5 14 5 1 21 6 16 6 22 7 1 17 6 21 1 5 14 5 1 21 6 17 1 7 22 6 16 6 20 6 19 1 6 1 20 1 6 1 19 6 20 6 16 6 22 7 1 17 6 21 1 5 14 5 1 21 6 17 1 7 22 6 16 6 21 1 5 14 5 1 22, zy
8150: 1 5 14 4 12 4 12 4 14 4 10 4 16 6 21 1 6 1 19 4 6 2 6 2 8 4 17 1 7 22 6 16 6 22 6 14 4 12 4 14 6 22 6 16 6 22 7 1 17 4 8 2 6 2 6 4 19 1 6 1 21 6 16 4 10 4 14 4 12 4 12 4 14 5 1 22 1 6 1 19 6 18 6 19 1 7 23 1 5 14 4 12 4 14 5 1 23 7 1 19 6 18 6 19 1 6 1 22, zy
8151: 1 5 14 4 12 4 12 4 14 4 10 4 16 6 21 1 6 1 19 6 19 1 6 1 21 6 16 4 10 4 14 4 12 4 12 4 14 5 1 22 1 6 1 19 6 18 6 19 1 7 23 1 5 14 4 12 4 14 6 22 6 16 6 22 7 1 17 4 8 2 6 2 6 2 6 2 6 2 8 4 17 1 7 22 6 16 6 22 6 14 4 12 4 14 5 1 23 7 1 19 6 18 6 19 1 6 1 22, zy
